gid spike-times
190 66.0,122.0,187.0,261.0,332.0,400.0,475.0,542.0,595.0,668.0,735.0,823.0,901.0,973.0,1030.0,1105.0,1173.0,1225.0,1309.0,1386.0,1450.0,1516.0,1584.0,1659.0,1727.0,1794.0,1858.0,1928.0,1998.0,2065.0,2135.0,2190.0,2279.0,2341.0,2420.0,2478.0,2539.0,2616.0,2684.0,2752.0,2820.0,2888.0,2955.0,3023.0,3096.0,3172.0,3253.0,3317.0,3379.0,3433.0,3492.0,3542.0,3604.0,3667.0,3734.0,3798.0,3862.0,3934.0,4002.0,4062.0,4129.0,4188.0,4265.0,4343.0,4405.0,4486.0,4537.0,4609.0,4672.0,4732.0,4794.0,4864.0,4937.0,5021.0,5081.0,5138.0,5191.0,5263.0,5331.0,5392.0,5472.0,5535.0,5600.0,5672.0,5741.0,5810.0,5877.0,5940.0,6015.0,7078.652,8052.652,8167.732,8233.732,8298.732,8364.732,8421.732,8505.732,8578.732,8651.732,8706.732,8766.732,8820.732,8882.732,8944.732,9004.732,9069.732,9146.732,9213.732,9273.732,9331.732,9391.732,9454.732,9508.732,9563.732,9632.732,9701.732,9768.732,9846.732,9929.732,9980.732
191 61.0,133.0,202.0,274.0,327.0,390.0,454.0,517.0,586.0,656.0,730.0,809.0,880.0,941.0,1012.0,1080.0,1149.0,1217.0,1288.0,1360.0,1429.0,1486.0,1551.0,1604.0,1673.0,1734.0,1804.0,1866.0,1934.0,1998.0,2066.0,2120.0,2181.0,2258.0,2319.0,2383.0,2454.0,2519.0,2581.0,2639.0,2702.0,2761.0,2838.0,2905.0,2964.0,3038.0,3088.0,3155.0,3217.0,3285.0,3363.0,3426.0,3488.0,3547.0,3624.0,3690.0,3768.0,3853.0,3913.0,3974.0,4040.0,4104.0,4170.0,4229.0,4302.0,4359.0,4423.0,4483.0,4548.0,4617.0,4692.0,4771.0,4841.0,4898.0,4973.0,5051.0,5111.0,5171.0,5256.0,5322.0,5382.0,5463.0,5523.0,5582.0,5650.0,5711.0,5781.0,5846.0,5917.0,5993.0,6071.0,7102.652,8081.652,8168.732,8243.732,8307.732,8391.732,8457.732,8523.732,8578.732,8656.732,8729.732,8804.732,8875.732,8938.732,8994.732,9081.732,9150.732,9218.732,9274.732,9347.732,9410.732,9479.732,9545.732,9605.732,9667.732,9728.732,9787.732,9857.732,9933.732
192 69.0,141.0,202.0,269.0,341.0,411.0,481.0,543.0,630.0,695.0,759.0,837.0,901.0,972.0,1041.0,1101.0,1162.0,1232.0,1290.0,1341.0,1404.0,1464.0,1522.0,1586.0,1651.0,1727.0,1790.0,1869.0,1937.0,2007.0,2072.0,2145.0,2217.0,2291.0,2370.0,2440.0,2509.0,2566.0,2644.0,2719.0,2781.0,2856.0,2931.0,2984.0,3056.0,3121.0,3181.0,3244.0,3316.0,3394.0,3445.0,3521.0,3587.0,3644.0,3701.0,3769.0,3827.0,3895.0,3976.0,4048.0,4109.0,4178.0,4232.0,4289.0,4366.0,4439.0,4504.0,4569.0,4637.0,4716.0,4791.0,4866.0,4946.0,5005.0,5064.0,5142.0,5207.0,5262.0,5337.0,5400.0,5463.0,5525.0,5598.0,5666.0,5728.0,5797.0,5862.0,5923.0,5991.0,6064.0,7034.652,8017.652,8181.732,8249.732,8314.732,8379.732,8452.732,8512.732,8578.732,8651.732,8723.732,8789.732,8863.732,8924.732,8979.732,9046.732,9113.732,9173.732,9234.732,9303.732,9372.732,9443.732,9506.732,9570.732,9634.732,9692.732,9772.732,9830.732,9902.732,9970.732
193 58.0,129.0,199.0,251.0,318.0,367.0,436.0,504.0,566.0,635.0,710.0,768.0,832.0,897.0,957.0,1021.0,1076.0,1141.0,1208.0,1280.0,1345.0,1409.0,1477.0,1565.0,1621.0,1697.0,1745.0,1804.0,1862.0,1914.0,1975.0,2046.0,2109.0,2180.0,2244.0,2289.0,2362.0,2435.0,2503.0,2573.0,2645.0,2708.0,2762.0,2837.0,2906.0,2968.0,3037.0,3106.0,3172.0,3252.0,3327.0,3407.0,3464.0,3554.0,3625.0,3677.0,3732.0,3811.0,3876.0,3932.0,3992.0,4047.0,4110.0,4166.0,4234.0,4299.0,4352.0,4411.0,4469.0,4542.0,4611.0,4670.0,4727.0,4794.0,4873.0,4934.0,5003.0,5072.0,5136.0,5199.0,5261.0,5315.0,5366.0,5430.0,5489.0,5559.0,5630.0,5703.0,5771.0,5845.0,5926.0,6007.0,6065.0,7033.652,8035.652,8181.732,8228.732,8290.732,8360.732,8433.732,8494.732,8558.732,8621.732,8674.732,8748.732,8819.732,8893.732,8958.732,9024.732,9096.732,9170.732,9232.732,9306.732,9365.732,9435.732,9492.732,9552.732,9619.732,9675.732,9738.732,9798.732,9869.732,9932.732,9998.732
194 63.0,126.0,182.0,252.0,315.0,378.0,448.0,517.0,589.0,659.0,733.0,813.0,879.0,940.0,1004.0,1070.0,1131.0,1196.0,1261.0,1326.0,1381.0,1461.0,1524.0,1591.0,1662.0,1718.0,1779.0,1848.0,1908.0,1986.0,2059.0,2144.0,2216.0,2285.0,2351.0,2423.0,2483.0,2539.0,2606.0,2681.0,2739.0,2805.0,2881.0,2947.0,3014.0,3085.0,3161.0,3228.0,3284.0,3355.0,3416.0,3472.0,3538.0,3598.0,3652.0,3710.0,3768.0,3830.0,3890.0,3947.0,4017.0,4085.0,4142.0,4206.0,4260.0,4321.0,4391.0,4453.0,4511.0,4569.0,4641.0,4697.0,4756.0,4820.0,4882.0,4947.0,5010.0,5066.0,5135.0,5187.0,5273.0,5344.0,5418.0,5471.0,5539.0,5598.0,5652.0,5703.0,5766.0,5824.0,5897.0,5956.0,6014.0,7103.652,8186.732,8236.732,8304.732,8374.732,8440.732,8497.732,8562.732,8614.732,8687.732,8760.732,8819.732,8893.732,8959.732,9025.732,9079.732,9143.732,9208.732,9291.732,9352.732,9411.732,9484.732,9556.732,9614.732,9668.732,9728.732,9805.732,9862.732,9928.732,9987.732
195 72.0,151.0,215.0,287.0,357.0,432.0,499.0,563.0,633.0,701.0,770.0,828.0,896.0,962.0,1007.0,1060.0,1130.0,1199.0,1262.0,1334.0,1409.0,1468.0,1533.0,1597.0,1668.0,1720.0,1781.0,1851.0,1907.0,1983.0,2049.0,2130.0,2201.0,2255.0,2331.0,2393.0,2471.0,2533.0,2594.0,2667.0,2720.0,2785.0,2834.0,2903.0,2972.0,3029.0,3082.0,3143.0,3209.0,3275.0,3350.0,3415.0,3477.0,3537.0,3611.0,3684.0,3750.0,3806.0,3865.0,3938.0,3997.0,4067.0,4126.0,4188.0,4245.0,4320.0,4399.0,4465.0,4542.0,4607.0,4669.0,4739.0,4800.0,4856.0,4917.0,4985.0,5050.0,5110.0,5177.0,5247.0,5308.0,5360.0,5436.0,5506.0,5571.0,5643.0,5700.0,5770.0,5831.0,5902.0,5955.0,6019.0,7087.652,8069.652,8175.732,8224.732,8293.732,8363.732,8430.732,8506.732,8567.732,8638.732,8707.732,8777.732,8840.732,8916.732,8995.732,9056.732,9125.732,9206.732,9271.732,9333.732,9402.732,9454.732,9520.732,9581.732,9650.732,9725.732,9786.732,9853.732,9927.732,9990.732
196 70.0,126.0,195.0,273.0,337.0,387.0,460.0,525.0,593.0,667.0,732.0,806.0,874.0,951.0,1031.0,1088.0,1149.0,1215.0,1279.0,1350.0,1424.0,1478.0,1545.0,1613.0,1681.0,1742.0,1826.0,1887.0,1951.0,2031.0,2105.0,2176.0,2237.0,2285.0,2346.0,2391.0,2473.0,2539.0,2607.0,2682.0,2758.0,2829.0,2886.0,2953.0,3031.0,3095.0,3158.0,3232.0,3314.0,3385.0,3437.0,3494.0,3566.0,3643.0,3722.0,3795.0,3865.0,3943.0,4008.0,4073.0,4153.0,4221.0,4293.0,4348.0,4415.0,4481.0,4553.0,4615.0,4692.0,4761.0,4834.0,4895.0,4961.0,5026.0,5094.0,5171.0,5247.0,5310.0,5375.0,5444.0,5514.0,5584.0,5668.0,5735.0,5796.0,5867.0,5925.0,5998.0,6063.0,7091.652,8173.732,8238.732,8306.732,8368.732,8437.732,8511.732,8572.732,8637.732,8702.732,8760.732,8820.732,8880.732,8946.732,9016.732,9077.732,9137.732,9209.732,9261.732,9327.732,9385.732,9450.732,9509.732,9577.732,9652.732,9723.732,9789.732,9845.732,9901.732,9962.732
197 58.0,126.0,174.0,236.0,305.0,369.0,435.0,505.0,577.0,643.0,712.0,777.0,843.0,919.0,1003.0,1065.0,1125.0,1185.0,1258.0,1326.0,1392.0,1456.0,1528.0,1604.0,1672.0,1730.0,1788.0,1858.0,1930.0,2008.0,2070.0,2137.0,2189.0,2265.0,2329.0,2405.0,2457.0,2530.0,2602.0,2686.0,2759.0,2822.0,2913.0,2973.0,3028.0,3099.0,3163.0,3225.0,3284.0,3350.0,3430.0,3487.0,3545.0,3622.0,3678.0,3749.0,3815.0,3875.0,3940.0,4011.0,4088.0,4150.0,4214.0,4286.0,4369.0,4423.0,4496.0,4549.0,4613.0,4677.0,4738.0,4806.0,4864.0,4930.0,4997.0,5054.0,5122.0,5186.0,5263.0,5347.0,5413.0,5483.0,5545.0,5618.0,5692.0,5760.0,5815.0,5875.0,5934.0,6008.0,6073.0,7080.652,8055.652,8159.732,8226.732,8292.732,8372.732,8436.732,8496.732,8565.732,8620.732,8694.732,8754.732,8813.732,8882.732,8944.732,9009.732,9079.732,9134.732,9199.732,9264.732,9327.732,9402.732,9457.732,9517.732,9585.732,9633.732,9706.732,9790.732,9858.732,9928.732,9990.732
198 65.0,128.0,190.0,263.0,318.0,395.0,470.0,527.0,602.0,662.0,731.0,794.0,867.0,941.0,1001.0,1079.0,1133.0,1217.0,1289.0,1358.0,1430.0,1486.0,1551.0,1607.0,1694.0,1760.0,1818.0,1888.0,1949.0,2008.0,2078.0,2141.0,2218.0,2265.0,2326.0,2390.0,2442.0,2507.0,2568.0,2639.0,2701.0,2771.0,2852.0,2926.0,2997.0,3069.0,3133.0,3215.0,3287.0,3355.0,3419.0,3479.0,3549.0,3618.0,3680.0,3749.0,3806.0,3874.0,3942.0,4012.0,4094.0,4174.0,4245.0,4304.0,4367.0,4435.0,4494.0,4569.0,4641.0,4717.0,4772.0,4825.0,4893.0,4980.0,5048.0,5111.0,5180.0,5241.0,5313.0,5379.0,5448.0,5515.0,5585.0,5644.0,5708.0,5764.0,5831.0,5899.0,5965.0,6035.0,7014.652,8107.652,8169.732,8232.732,8297.732,8365.732,8425.732,8479.732,8548.732,8621.732,8702.732,8763.732,8819.732,8875.732,8953.732,9033.732,9105.732,9180.732,9246.732,9309.732,9363.732,9426.732,9497.732,9548.732,9619.732,9666.732,9730.732,9800.732,9875.732,9952.732
199 65.0,128.0,195.0,261.0,329.0,397.0,469.0,531.0,604.0,667.0,713.0,792.0,862.0,932.0,983.0,1050.0,1128.0,1188.0,1255.0,1316.0,1378.0,1450.0,1528.0,1588.0,1659.0,1724.0,1794.0,1859.0,1929.0,1992.0,2068.0,2140.0,2211.0,2283.0,2350.0,2414.0,2481.0,2538.0,2623.0,2686.0,2760.0,2820.0,2885.0,2944.0,3016.0,3082.0,3143.0,3207.0,3271.0,3322.0,3376.0,3448.0,3511.0,3571.0,3636.0,3708.0,3785.0,3845.0,3906.0,3974.0,4030.0,4110.0,4166.0,4238.0,4305.0,4357.0,4416.0,4471.0,4543.0,4616.0,4675.0,4744.0,4812.0,4863.0,4923.0,5011.0,5081.0,5146.0,5209.0,5284.0,5361.0,5425.0,5499.0,5563.0,5635.0,5686.0,5757.0,5821.0,5880.0,5947.0,6005.0,6071.0,7083.652,8100.652,8176.732,8224.732,8293.732,8352.732,8418.732,8488.732,8553.732,8623.732,8683.732,8756.732,8816.732,8881.732,8939.732,9009.732,9052.732,9119.732,9168.732,9229.732,9289.732,9356.732,9419.732,9484.732,9560.732,9623.732,9686.732,9755.732,9816.732,9893.732,9968.732
200 61.0,140.0,203.0,269.0,333.0,417.0,493.0,558.0,625.0,689.0,753.0,827.0,893.0,962.0,1031.0,1093.0,1162.0,1228.0,1285.0,1347.0,1421.0,1477.0,1540.0,1602.0,1679.0,1749.0,1815.0,1873.0,1946.0,2028.0,2098.0,2166.0,2233.0,2301.0,2364.0,2417.0,2478.0,2552.0,2610.0,2669.0,2745.0,2818.0,2896.0,2965.0,3025.0,3096.0,3168.0,3243.0,3297.0,3352.0,3397.0,3459.0,3514.0,3571.0,3621.0,3691.0,3760.0,3830.0,3899.0,3949.0,4002.0,4084.0,4153.0,4221.0,4301.0,4374.0,4463.0,4530.0,4592.0,4647.0,4707.0,4772.0,4835.0,4903.0,4977.0,5039.0,5113.0,5184.0,5267.0,5332.0,5401.0,5480.0,5534.0,5615.0,5681.0,5746.0,5817.0,5887.0,5957.0,6029.0,7055.652,8097.652,8185.732,8259.732,8328.732,8393.732,8455.732,8535.732,8611.732,8682.732,8753.732,8822.732,8875.732,8947.732,9007.732,9064.732,9134.732,9198.732,9276.732,9353.732,9412.732,9481.732,9551.732,9612.732,9685.732,9743.732,9800.732,9864.732,9926.732,9993.732
201 50.0,100.0,158.0,230.0,282.0,350.0,409.0,479.0,537.0,604.0,675.0,755.0,806.0,871.0,944.0,1000.0,1063.0,1111.0,1166.0,1245.0,1310.0,1374.0,1436.0,1505.0,1575.0,1649.0,1714.0,1782.0,1847.0,1908.0,1972.0,2048.0,2123.0,2193.0,2267.0,2343.0,2406.0,2479.0,2544.0,2619.0,2691.0,2748.0,2803.0,2865.0,2932.0,2999.0,3075.0,3144.0,3204.0,3259.0,3324.0,3393.0,3460.0,3534.0,3608.0,3673.0,3740.0,3811.0,3872.0,3945.0,4015.0,4066.0,4115.0,4177.0,4234.0,4282.0,4347.0,4414.0,4477.0,4545.0,4629.0,4709.0,4768.0,4839.0,4905.0,4981.0,5037.0,5127.0,5197.0,5262.0,5339.0,5406.0,5474.0,5541.0,5604.0,5671.0,5734.0,5807.0,5870.0,5933.0,6009.0,7091.652,8049.652,8178.732,8243.732,8315.732,8389.732,8445.732,8519.732,8587.732,8662.732,8734.732,8806.732,8876.732,8948.732,9026.732,9099.732,9161.732,9223.732,9287.732,9337.732,9399.732,9459.732,9527.732,9594.732,9658.732,9717.732,9783.732,9844.732,9903.732,9966.732
202 73.0,128.0,193.0,265.0,328.0,398.0,472.0,545.0,615.0,693.0,769.0,840.0,900.0,962.0,1019.0,1082.0,1141.0,1207.0,1277.0,1353.0,1427.0,1503.0,1556.0,1630.0,1689.0,1758.0,1838.0,1905.0,1965.0,2032.0,2109.0,2176.0,2235.0,2298.0,2345.0,2418.0,2483.0,2563.0,2631.0,2712.0,2780.0,2843.0,2929.0,2999.0,3052.0,3131.0,3190.0,3263.0,3327.0,3406.0,3469.0,3537.0,3613.0,3676.0,3736.0,3791.0,3861.0,3936.0,4004.0,4072.0,4146.0,4209.0,4269.0,4342.0,4399.0,4461.0,4533.0,4588.0,4641.0,4715.0,4776.0,4837.0,4912.0,4987.0,5061.0,5127.0,5197.0,5261.0,5331.0,5403.0,5474.0,5540.0,5617.0,5693.0,5770.0,5840.0,5924.0,6002.0,6072.0,7112.652,8097.652,8166.732,8231.732,8296.732,8376.732,8466.732,8541.732,8609.732,8653.732,8715.732,8772.732,8835.732,8907.732,8967.732,9020.732,9086.732,9144.732,9192.732,9253.732,9322.732,9393.732,9458.732,9522.732,9597.732,9653.732,9717.732,9788.732,9858.732,9929.732
203 65.0,149.0,228.0,296.0,361.0,424.0,507.0,573.0,646.0,716.0,783.0,868.0,937.0,1004.0,1079.0,1141.0,1204.0,1275.0,1347.0,1418.0,1489.0,1560.0,1633.0,1697.0,1773.0,1836.0,1894.0,1973.0,2047.0,2102.0,2169.0,2235.0,2302.0,2385.0,2456.0,2514.0,2592.0,2658.0,2723.0,2796.0,2868.0,2930.0,2988.0,3043.0,3101.0,3166.0,3239.0,3303.0,3378.0,3442.0,3506.0,3571.0,3654.0,3711.0,3778.0,3853.0,3930.0,3980.0,4061.0,4119.0,4177.0,4253.0,4329.0,4398.0,4475.0,4546.0,4615.0,4682.0,4762.0,4839.0,4898.0,4953.0,5017.0,5090.0,5143.0,5210.0,5282.0,5354.0,5411.0,5471.0,5531.0,5596.0,5657.0,5722.0,5797.0,5853.0,5924.0,5969.0,6029.0,7106.652,8170.732,8253.732,8330.732,8402.732,8474.732,8533.732,8613.732,8675.732,8750.732,8808.732,8877.732,8956.732,9035.732,9102.732,9164.732,9236.732,9316.732,9386.732,9463.732,9532.732,9592.732,9657.732,9732.732,9808.732,9875.732,9942.732,9998.732
204 85.0,144.0,220.0,282.0,339.0,405.0,475.0,546.0,605.0,665.0,719.0,780.0,836.0,900.0,974.0,1040.0,1113.0,1173.0,1238.0,1308.0,1378.0,1435.0,1506.0,1572.0,1654.0,1731.0,1798.0,1859.0,1910.0,1978.0,2030.0,2078.0,2149.0,2210.0,2264.0,2327.0,2399.0,2468.0,2542.0,2605.0,2688.0,2750.0,2826.0,2884.0,2957.0,3039.0,3106.0,3174.0,3239.0,3298.0,3350.0,3416.0,3485.0,3542.0,3615.0,3687.0,3761.0,3813.0,3890.0,3954.0,4025.0,4093.0,4162.0,4228.0,4289.0,4356.0,4412.0,4493.0,4564.0,4622.0,4684.0,4752.0,4823.0,4896.0,4968.0,5046.0,5125.0,5207.0,5285.0,5357.0,5418.0,5490.0,5559.0,5622.0,5692.0,5763.0,5834.0,5901.0,5974.0,6045.0,7161.652,8188.732,8243.732,8314.732,8389.732,8459.732,8519.732,8585.732,8643.732,8699.732,8766.732,8823.732,8891.732,8950.732,9026.732,9113.732,9171.732,9256.732,9321.732,9388.732,9455.732,9521.732,9593.732,9660.732,9733.732,9793.732,9867.732,9931.732,9995.732
205 68.0,114.0,190.0,264.0,331.0,396.0,450.0,515.0,586.0,647.0,703.0,782.0,834.0,905.0,974.0,1044.0,1118.0,1178.0,1260.0,1321.0,1387.0,1454.0,1532.0,1601.0,1664.0,1730.0,1791.0,1862.0,1927.0,1994.0,2069.0,2140.0,2206.0,2258.0,2315.0,2370.0,2439.0,2504.0,2573.0,2632.0,2710.0,2773.0,2841.0,2896.0,2962.0,3041.0,3099.0,3158.0,3233.0,3296.0,3363.0,3440.0,3502.0,3581.0,3646.0,3701.0,3765.0,3849.0,3909.0,3966.0,4027.0,4078.0,4157.0,4229.0,4298.0,4375.0,4438.0,4500.0,4568.0,4625.0,4688.0,4747.0,4812.0,4886.0,4950.0,5015.0,5080.0,5141.0,5220.0,5283.0,5365.0,5436.0,5497.0,5555.0,5610.0,5673.0,5752.0,5821.0,5891.0,5955.0,6019.0,6079.0,7071.652,8012.652,8161.732,8225.732,8287.732,8349.732,8399.732,8464.732,8538.732,8601.732,8688.732,8758.732,8833.732,8901.732,8962.732,9020.732,9093.732,9149.732,9209.732,9273.732,9345.732,9401.732,9463.732,9531.732,9603.732,9674.732,9738.732,9807.732,9863.732,9919.732,9985.732
206 68.0,136.0,210.0,281.0,341.0,408.0,476.0,555.0,615.0,671.0,746.0,800.0,864.0,936.0,1006.0,1071.0,1138.0,1211.0,1287.0,1342.0,1407.0,1477.0,1548.0,1616.0,1677.0,1739.0,1800.0,1873.0,1932.0,1998.0,2060.0,2127.0,2197.0,2255.0,2331.0,2397.0,2470.0,2543.0,2608.0,2673.0,2740.0,2788.0,2844.0,2909.0,2966.0,3032.0,3107.0,3177.0,3255.0,3327.0,3387.0,3458.0,3540.0,3589.0,3649.0,3707.0,3773.0,3841.0,3926.0,3997.0,4054.0,4124.0,4191.0,4246.0,4305.0,4367.0,4427.0,4497.0,4565.0,4634.0,4701.0,4772.0,4837.0,4919.0,4991.0,5076.0,5152.0,5220.0,5286.0,5352.0,5428.0,5510.0,5572.0,5628.0,5683.0,5756.0,5834.0,5914.0,5996.0,6058.0,7105.652,8101.652,8172.732,8234.732,8284.732,8345.732,8416.732,8484.732,8542.732,8613.732,8687.732,8746.732,8815.732,8889.732,8964.732,9037.732,9108.732,9171.732,9243.732,9315.732,9386.732,9451.732,9519.732,9597.732,9687.732,9745.732,9812.732,9881.732,9951.732
207 68.0,141.0,200.0,260.0,330.0,411.0,488.0,565.0,648.0,721.0,786.0,860.0,935.0,1005.0,1080.0,1152.0,1214.0,1291.0,1354.0,1428.0,1493.0,1573.0,1648.0,1723.0,1776.0,1828.0,1909.0,1973.0,2043.0,2123.0,2188.0,2248.0,2296.0,2374.0,2431.0,2509.0,2576.0,2633.0,2701.0,2770.0,2844.0,2920.0,2982.0,3053.0,3121.0,3195.0,3263.0,3318.0,3383.0,3456.0,3526.0,3600.0,3676.0,3739.0,3816.0,3894.0,3960.0,4024.0,4093.0,4170.0,4224.0,4281.0,4346.0,4402.0,4467.0,4523.0,4598.0,4667.0,4747.0,4814.0,4882.0,4945.0,5018.0,5087.0,5152.0,5232.0,5297.0,5365.0,5423.0,5489.0,5546.0,5626.0,5686.0,5751.0,5809.0,5873.0,5935.0,5995.0,7117.652,8165.732,8233.732,8293.732,8360.732,8424.732,8489.732,8552.732,8622.732,8680.732,8746.732,8805.732,8860.732,8919.732,8986.732,9051.732,9108.732,9168.732,9238.732,9298.732,9365.732,9435.732,9507.732,9575.732,9642.732,9716.732,9786.732,9842.732,9913.732,9991.732
208 60.0,137.0,195.0,265.0,333.0,386.0,460.0,523.0,592.0,651.0,727.0,794.0,852.0,916.0,973.0,1033.0,1107.0,1173.0,1261.0,1329.0,1404.0,1458.0,1520.0,1598.0,1661.0,1735.0,1807.0,1864.0,1924.0,1994.0,2064.0,2132.0,2199.0,2254.0,2324.0,2401.0,2475.0,2530.0,2611.0,2686.0,2758.0,2822.0,2884.0,2937.0,3009.0,3076.0,3140.0,3204.0,3265.0,3329.0,3401.0,3451.0,3521.0,3589.0,3656.0,3720.0,3792.0,3865.0,3938.0,4001.0,4067.0,4127.0,4192.0,4273.0,4343.0,4415.0,4470.0,4521.0,4584.0,4652.0,4719.0,4801.0,4880.0,4943.0,5011.0,5081.0,5145.0,5211.0,5273.0,5337.0,5404.0,5465.0,5531.0,5614.0,5683.0,5752.0,5811.0,5872.0,5944.0,6021.0,7041.652,8004.652,8172.732,8229.732,8297.732,8364.732,8439.732,8505.732,8585.732,8671.732,8739.732,8804.732,8864.732,8921.732,8988.732,9062.732,9127.732,9198.732,9256.732,9317.732,9378.732,9450.732,9510.732,9576.732,9642.732,9708.732,9772.732,9849.732,9908.732,9970.732
209 77.0,154.0,216.0,277.0,357.0,413.0,483.0,559.0,613.0,681.0,750.0,820.0,891.0,951.0,1024.0,1088.0,1149.0,1207.0,1267.0,1324.0,1393.0,1455.0,1510.0,1593.0,1658.0,1746.0,1814.0,1879.0,1952.0,2023.0,2087.0,2146.0,2215.0,2282.0,2357.0,2420.0,2490.0,2553.0,2622.0,2684.0,2749.0,2823.0,2889.0,2964.0,3013.0,3090.0,3151.0,3220.0,3275.0,3338.0,3432.0,3512.0,3583.0,3647.0,3702.0,3762.0,3830.0,3896.0,3971.0,4048.0,4127.0,4193.0,4260.0,4328.0,4399.0,4462.0,4539.0,4599.0,4670.0,4731.0,4794.0,4871.0,4941.0,5001.0,5081.0,5150.0,5228.0,5284.0,5355.0,5418.0,5480.0,5561.0,5652.0,5710.0,5755.0,5829.0,5895.0,5954.0,6020.0,7110.652,8187.732,8255.732,8333.732,8411.732,8473.732,8549.732,8616.732,8679.732,8730.732,8784.732,8862.732,8940.732,9010.732,9084.732,9155.732,9211.732,9276.732,9340.732,9420.732,9486.732,9553.732,9621.732,9697.732,9765.732,9838.732,9894.732,9966.732
210 79.0,150.0,229.0,296.0,365.0,425.0,508.0,576.0,636.0,701.0,762.0,835.0,897.0,958.0,1020.0,1096.0,1165.0,1245.0,1314.0,1386.0,1450.0,1515.0,1586.0,1648.0,1701.0,1768.0,1840.0,1911.0,1994.0,2052.0,2109.0,2177.0,2248.0,2318.0,2394.0,2454.0,2526.0,2584.0,2648.0,2727.0,2790.0,2837.0,2900.0,2969.0,3044.0,3116.0,3188.0,3260.0,3323.0,3384.0,3450.0,3507.0,3563.0,3632.0,3699.0,3774.0,3840.0,3915.0,3976.0,4038.0,4112.0,4169.0,4245.0,4318.0,4391.0,4439.0,4504.0,4561.0,4638.0,4701.0,4774.0,4837.0,4897.0,4969.0,5043.0,5105.0,5181.0,5255.0,5314.0,5387.0,5453.0,5519.0,5577.0,5629.0,5703.0,5771.0,5833.0,5911.0,5978.0,6046.0,7086.652,8182.732,8246.732,8330.732,8387.732,8448.732,8507.732,8574.732,8632.732,8703.732,8768.732,8830.732,8883.732,8948.732,9017.732,9091.732,9164.732,9238.732,9314.732,9377.732,9451.732,9521.732,9595.732,9656.732,9714.732,9783.732,9845.732,9921.732,9989.732
211 73.0,128.0,194.0,241.0,299.0,367.0,432.0,494.0,573.0,642.0,703.0,773.0,841.0,909.0,986.0,1063.0,1127.0,1195.0,1260.0,1319.0,1387.0,1447.0,1502.0,1564.0,1646.0,1717.0,1776.0,1836.0,1906.0,1967.0,2036.0,2099.0,2157.0,2226.0,2291.0,2365.0,2437.0,2509.0,2594.0,2648.0,2718.0,2782.0,2835.0,2913.0,2986.0,3055.0,3122.0,3186.0,3272.0,3354.0,3426.0,3493.0,3547.0,3621.0,3685.0,3757.0,3821.0,3884.0,3952.0,4012.0,4092.0,4173.0,4246.0,4315.0,4369.0,4429.0,4492.0,4550.0,4626.0,4701.0,4772.0,4824.0,4892.0,4945.0,4992.0,5054.0,5111.0,5178.0,5246.0,5301.0,5368.0,5441.0,5491.0,5578.0,5639.0,5711.0,5773.0,5838.0,5915.0,5972.0,6036.0,7095.652,8099.652,8167.732,8239.732,8300.732,8364.732,8430.732,8504.732,8571.732,8635.732,8708.732,8785.732,8861.732,8925.732,8990.732,9055.732,9124.732,9176.732,9240.732,9297.732,9355.732,9416.732,9498.732,9553.732,9625.732,9688.732,9752.732,9811.732,9867.732,9941.732
212 82.0,146.0,214.0,279.0,336.0,388.0,457.0,515.0,575.0,619.0,682.0,738.0,787.0,848.0,920.0,987.0,1053.0,1126.0,1202.0,1255.0,1336.0,1415.0,1490.0,1563.0,1640.0,1714.0,1776.0,1859.0,1925.0,1987.0,2038.0,2114.0,2189.0,2259.0,2317.0,2372.0,2430.0,2497.0,2565.0,2625.0,2690.0,2747.0,2820.0,2896.0,2966.0,3030.0,3098.0,3154.0,3219.0,3289.0,3356.0,3421.0,3486.0,3558.0,3632.0,3702.0,3779.0,3849.0,3923.0,3992.0,4060.0,4129.0,4196.0,4263.0,4330.0,4392.0,4456.0,4522.0,4589.0,4655.0,4725.0,4801.0,4868.0,4933.0,5000.0,5068.0,5141.0,5207.0,5271.0,5358.0,5421.0,5486.0,5555.0,5620.0,5674.0,5738.0,5793.0,5854.0,5913.0,5986.0,6074.0,7056.652,8090.652,8165.732,8226.732,8294.732,8353.732,8419.732,8487.732,8540.732,8595.732,8654.732,8713.732,8780.732,8856.732,8905.732,8976.732,9042.732,9107.732,9185.732,9248.732,9317.732,9391.732,9457.732,9525.732,9582.732,9633.732,9691.732,9763.732,9840.732,9910.732,9972.732
